type_value,pp_code,parking_pl_value,x,y,destination,no_of_lots
MYCYCLE LOTS,T0017,TIONG BAHRU PARK OFF STREET,1.28685783982366,103.824889584875,"(1.28685783982366, 103.824889584875)",25
CAR LOTS,J0062,JALAN AMPAS,1.32546688587242,103.850822385801,"(1.32546688587242, 103.850822385801)",17
CAR LOTS,B0035,BELILIOS LANE OFF STREET,1.3071145887273,103.851474447077,"(1.3071145887273, 103.851474447077)",32
CAR LOTS,B0035,BELILIOS LANE OFF STREET,1.3071145887273,103.851474447077,"(1.3071145887273, 103.851474447077)",32
CAR LOTS,P0035,PHENG GECK AVENUE,1.32951897902507,103.869386793014,"(1.32951897902507, 103.869386793014)",58
CAR LOTS,S0020,SEMBAWANG HILLS FOOD CENTRE OFF STREET,1.37206957898629,103.828901068905,"(1.37206957898629, 103.828901068905)",30
CAR LOTS,A0011,ARMENIAN STREET OFF STREET,1.29372996272546,103.848840179959,"(1.29372996272546, 103.848840179959)",51
CAR LOTS,N0012,NORTH BRIDGE ROAD MARKET OFF STREET,1.30047700488201,103.856795525374,"(1.30047700488201, 103.856795525374)",66
CAR LOTS,W0051,WOODLANDS INDUSTRIAL PARK E6,1.44921737051485,103.799538578755,"(1.44921737051485, 103.799538578755)",10
CAR LOTS,J0122,JALAN KAYU OFF STREET,1.39828573491224,103.873160125399,"(1.39828573491224, 103.873160125399)",237
CAR LOTS,F0022,FORT CANNING PARK B OFF STREET,1.29612036774765,103.846507966126,"(1.29612036774765, 103.846507966126)",50
MYCYCLE LOTS,A0034,ANAMALAI AVENUE,1.33034361724479,103.794947563388,"(1.33034361724479, 103.794947563388)",27
MYCYCLE LOTS,T0115,TELOK KURAU ROAD,1.30817291219616,103.912518770013,"(1.30817291219616, 103.912518770013)",25
CAR LOTS,K0108,KEPPEL ROAD OFF STREET,1.27274462735996,103.839498781875,"(1.27274462735996, 103.839498781875)",127
MYCYCLE LOTS,T0066,TAGORE INDUSTRIAL AVENUE,1.38323677350477,103.828097346276,"(1.38323677350477, 103.828097346276)",90
MYCYCLE LOTS,E0023,EAST COAST PARK E3 OFF STREET,1.30839719409473,103.936163085717,"(1.30839719409473, 103.936163085717)",44
MYCYCLE LOTS,S0098,SIMS AVENUE (BET LOR 3 GEYLANG/PAYA LEBAR RD),1.31345743280327,103.87594293628,"(1.31345743280327, 103.87594293628)",142
MYCYCLE LOTS,L0041,LORONG 29 GEYLANG,1.31396040812161,103.885623503753,"(1.31396040812161, 103.885623503753)",25
CAR LOTS,F0031,FARLEIGH AVENUE OFF STREET,1.36394001757963,103.865599450947,"(1.36394001757963, 103.865599450947)",44
MYCYCLE LOTS,J0017,JOO CHIAT ROAD OFF STREET,1.30859280159493,103.903152553495,"(1.30859280159493, 103.903152553495)",135
MYCYCLE LOTS,U0042,UPPER CHANGI ROAD / BEDOK ROAD OFF STREET,1.33196112594193,103.94684922048,"(1.33196112594193, 103.94684922048)",58
MYCYCLE LOTS,T0129,TANJONG KATONG COMPLEX,1.31588703548497,103.895119017271,"(1.31588703548497, 103.895119017271)",450
MYCYCLE LOTS,S0141,SERVICE ROAD OFF UPPER EAST COAST ROAD,1.31291450229082,103.925999274542,"(1.31291450229082, 103.925999274542)",26
MYCYCLE LOTS,S0161,SEMBAWANG ROAD OFF STREET,1.44232814259679,103.823407524978,"(1.44232814259679, 103.823407524978)",87
MYCYCLE LOTS,M0078,MARITIME SQUARE D OFF STREET,1.26604066759661,103.820257209413,"(1.26604066759661, 103.820257209413)",658
MYCYCLE LOTS,M0059,MACKENZIE ROAD B OFF STREET,1.30528093211079,103.848217932127,"(1.30528093211079, 103.848217932127)",115
MYCYCLE LOTS,C0156,CHANGI BEACH CAR PARK 6,1.38400933224126,104.001127095349,"(1.38400933224126, 104.001127095349)",34
CAR LOTS,T0103,TEMBELING ROAD OFF STREET,1.31249043650364,103.900880445362,"(1.31249043650364, 103.900880445362)",223
MYCYCLE LOTS,Q0009,QUEEN'S CRESCENT HVP,1.29044169243921,103.800740216752,"(1.29044169243921, 103.800740216752)",20
MYCYCLE LOTS,D0029,DAIRY FARM ROAD /  PETIR ROAD HEAVY VEHCLE PARK,1.36593371476921,103.775703395827,"(1.36593371476921, 103.775703395827)",96
CAR LOTS,M0017,MIDDLE ROAD OFF STREET,1.30151372342879,103.850548488174,"(1.30151372342879, 103.850548488174)",15
MYCYCLE LOTS,P0076,PANDAN ROAD,1.29840238065476,103.753947447402,"(1.29840238065476, 103.753947447402)",100
MYCYCLE LOTS,W0013,WOODLANDS ROAD LORRY PARK,1.38223374990067,103.759357685162,"(1.38223374990067, 103.759357685162)",38
MYCYCLE LOTS,B0086,BUKIT BATOK EAST AVENUE 2 HEAVY VEHICLE PARK,1.3496966502609,103.762073715484,"(1.3496966502609, 103.762073715484)",45
MYCYCLE LOTS,T0109,TELOK BLANGAH DRIVE HEAVY VEHICLE PARK,1.27360554588305,103.805765338438,"(1.27360554588305, 103.805765338438)",18
MYCYCLE LOTS,B0099,BENDEMEER ROAD HEAVY VEHICLE PARK,1.3135893800032,103.860945655705,"(1.3135893800032, 103.860945655705)",55
